This file is created using RaceChrono v10.2.4 ( http://racechrono.com/ ).
Format,3
Session title,"Sonoma Raceway"
Session type,Lap timing
Track name,"Sonoma Raceway"
Driver name,"Max Fischer"
Created,27/08/2026,05:24
Note,Converted from Ducati DDA binary log

timestamp,fragment_id,lap_number,elapsed_time,distance_traveled,altitude,bearing,latitude,longitude,speed,engine_rpm,throttle_position,gear,lean_angle,torque_reduction_fast,torque_reduction_slow
unix time,,,s,m,m,deg,deg,deg,m/s,rpm,%,#,deg,%,%
,,,,,100: gps,100: gps,100: gps,100: gps,100: gps,100: can,100: can,100: can,100: can,100: can,100: can
1724869050.00,0,,1028.00,18378.44,1.8,321.8,38.1590530,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869050.10,0,,1028.10,18378.44,1.8,321.8,38.1590530,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869050.20,0,,1028.20,18378.44,1.8,321.8,38.1590530,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869050.30,0,,1028.30,18378.44,1.8,321.8,38.1590530,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869050.40,0,,1028.40,18378.44,1.8,321.8,38.1590530,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869050.50,0,,1028.50,18378.44,1.8,321.8,38.1590530,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869050.60,0,,1028.60,18378.44,1.8,321.8,38.1590530,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869050.70,0,,1028.70,18378.44,1.8,321.8,38.1590530,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869050.80,0,,1028.80,18378.44,1.7,321.8,38.1590530,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869050.90,0,,1028.90,18378.44,1.7,321.8,38.1590530,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869051.00,0,,1029.00,18378.52,1.7,270.0,38.1590530,-122.4533370,0.000,12243,0.0,1,-13.7,0,0
1724869051.10,0,,1029.10,18378.52,1.7,270.0,38.1590530,-122.4533370,0.000,12243,0.0,1,-13.7,0,0
1724869051.20,0,,1029.20,18378.52,1.7,270.0,38.1590530,-122.4533370,0.000,12243,0.0,1,-13.7,0,0
1724869051.30,0,,1029.30,18378.52,1.7,270.0,38.1590530,-122.4533370,0.000,12243,0.0,1,-13.7,0,0
1724869051.40,0,,1029.40,18378.52,1.7,270.0,38.1590530,-122.4533370,0.000,12243,0.0,1,-13.7,0,0
1724869051.50,0,,1029.50,18378.52,1.7,270.0,38.1590530,-122.4533370,0.000,12243,0.0,1,-13.7,0,0
1724869051.60,0,,1029.60,18378.52,1.7,270.0,38.1590530,-122.4533370,0.000,12243,0.0,1,-13.7,0,0
1724869051.70,0,,1029.70,18378.52,1.7,270.0,38.1590530,-122.4533370,0.000,12243,0.0,1,-13.7,0,0
1724869051.80,0,,1029.80,18378.52,1.5,270.0,38.1590530,-122.4533370,0.000,12243,0.0,1,-13.7,0,0
1724869051.90,0,,1029.90,18378.63,1.5,180.0,38.1590520,-122.4533370,0.000,12243,0.0,1,-13.7,0,0
1724869052.00,0,,1030.00,18378.63,1.5,180.0,38.1590520,-122.4533370,0.000,12243,0.0,1,-13.7,0,0
1724869052.10,0,,1030.10,18378.75,1.5,0.0,38.1590530,-122.4533370,0.000,12243,0.0,1,-13.7,0,0
1724869052.20,0,,1030.20,18378.75,1.5,0.0,38.1590530,-122.4533370,0.000,12243,0.0,1,-13.7,0,0
1724869052.30,0,,1030.30,18378.75,1.5,0.0,38.1590530,-122.4533370,0.000,12243,0.0,1,-13.7,0,0
1724869052.40,0,,1030.40,18378.75,1.5,0.0,38.1590530,-122.4533370,0.000,12243,0.0,1,-13.7,0,0
1724869052.50,0,,1030.50,18378.86,1.5,180.0,38.1590520,-122.4533370,0.000,12243,0.0,1,-13.7,0,0
1724869052.60,0,,1030.60,18378.97,1.5,0.0,38.1590530,-122.4533370,0.000,12243,0.0,1,-13.7,0,0
1724869052.70,0,,1030.70,18379.11,1.5,141.8,38.1590520,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869052.80,0,,1030.80,18379.11,1.2,141.8,38.1590520,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869052.90,0,,1030.90,18379.22,1.2,0.0,38.1590530,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869053.00,0,,1031.00,18379.22,1.2,0.0,38.1590530,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869053.10,0,,1031.10,18379.33,1.2,180.0,38.1590520,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869053.20,0,,1031.20,18379.44,1.2,0.0,38.1590530,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869053.30,0,,1031.30,18379.55,1.2,180.0,38.1590520,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869053.40,0,,1031.40,18379.67,1.2,0.0,38.1590530,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869053.50,0,,1031.50,18379.67,1.2,0.0,38.1590530,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869053.60,0,,1031.60,18379.67,1.2,0.0,38.1590530,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869053.70,0,,1031.70,18379.67,1.2,0.0,38.1590530,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869053.80,0,,1031.80,18379.67,1.0,0.0,38.1590530,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869053.90,0,,1031.90,18379.67,1.0,0.0,38.1590530,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869054.00,0,,1032.00,18379.78,1.0,180.0,38.1590520,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869054.10,0,,1032.10,18379.89,1.0,0.0,38.1590530,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869054.20,0,,1032.20,18380.00,1.0,180.0,38.1590520,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869054.30,0,,1032.30,18380.11,1.0,0.0,38.1590530,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869054.40,0,,1032.40,18380.11,1.0,0.0,38.1590530,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869054.50,0,,1032.50,18380.11,1.0,0.0,38.1590530,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869054.60,0,,1032.60,18380.11,1.0,0.0,38.1590530,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869054.70,0,,1032.70,18380.11,1.0,0.0,38.1590530,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869054.80,0,,1032.80,18380.11,0.8,0.0,38.1590530,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869054.90,0,,1032.90,18380.11,0.8,0.0,38.1590530,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869055.00,0,,1033.00,18380.11,0.8,0.0,38.1590530,-122.4533360,0.000,12243,0.0,1,-13.7,0,0
1724869055.10,0,,1033.10,18380.20,0.8,90.0,38.1590530,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869055.20,0,,1033.20,18380.20,0.8,90.0,38.1590530,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869055.30,0,,1033.30,18380.20,0.8,90.0,38.1590530,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869055.40,0,,1033.40,18380.20,0.8,90.0,38.1590530,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869055.50,0,,1033.50,18380.20,0.8,90.0,38.1590530,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869055.60,0,,1033.60,18380.20,0.8,90.0,38.1590530,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869055.70,0,,1033.70,18380.20,0.8,90.0,38.1590530,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869055.80,0,,1033.80,18380.20,0.6,90.0,38.1590530,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869055.90,0,,1033.90,18380.20,0.6,90.0,38.1590530,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869056.00,0,,1034.00,18380.31,0.6,0.0,38.1590540,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869056.10,0,,1034.10,18380.31,0.6,0.0,38.1590540,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869056.20,0,,1034.20,18380.31,0.6,0.0,38.1590540,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869056.30,0,,1034.30,18380.31,0.6,0.0,38.1590540,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869056.40,0,,1034.40,18380.31,0.6,0.0,38.1590540,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869056.50,0,,1034.50,18380.31,0.6,0.0,38.1590540,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869056.60,0,,1034.60,18380.31,0.6,0.0,38.1590540,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869056.70,0,,1034.70,18380.31,0.6,0.0,38.1590540,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869056.80,0,,1034.80,18380.31,0.4,0.0,38.1590540,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869056.90,0,,1034.90,18380.31,0.4,0.0,38.1590540,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869057.00,0,,1035.00,18380.31,0.4,0.0,38.1590540,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869057.10,0,,1035.10,18380.31,0.4,0.0,38.1590540,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869057.20,0,,1035.20,18380.31,0.4,0.0,38.1590540,-122.4533350,0.000,12243,0.0,1,-13.7,0,0
1724869057.30,0,,1035.30,18380.40,0.4,90.0,38.1590540,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869057.40,0,,1035.40,18380.40,0.4,90.0,38.1590540,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869057.50,0,,1035.50,18380.40,0.4,90.0,38.1590540,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869057.60,0,,1035.60,18380.40,0.4,90.0,38.1590540,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869057.70,0,,1035.70,18380.40,0.4,90.0,38.1590540,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869057.80,0,,1035.80,18380.40,0.2,90.0,38.1590540,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869057.90,0,,1035.90,18380.40,0.2,90.0,38.1590540,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869058.00,0,,1036.00,18380.40,0.2,90.0,38.1590540,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869058.10,0,,1036.10,18380.40,0.2,90.0,38.1590540,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869058.20,0,,1036.20,18380.51,0.2,0.0,38.1590550,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869058.30,0,,1036.30,18380.51,0.2,0.0,38.1590550,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869058.40,0,,1036.40,18380.51,0.2,0.0,38.1590550,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869058.50,0,,1036.50,18380.51,0.2,0.0,38.1590550,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869058.60,0,,1036.60,18380.51,0.2,0.0,38.1590550,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869058.70,0,,1036.70,18380.51,0.2,0.0,38.1590550,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869058.80,0,,1036.80,18380.51,0.0,0.0,38.1590550,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869058.90,0,,1036.90,18380.51,0.0,0.0,38.1590550,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869059.00,0,,1037.00,18380.62,0.0,0.0,38.1590560,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
1724869059.10,0,,1037.10,18380.62,0.0,0.0,38.1590560,-122.4533340,0.000,12243,0.0,1,-13.7,0,0
